name,place_of_birth,citizenship,national_team,birth_country,is_naturalized
Ermedin Demirovic,Hamburg,Bosnia-Herzegovina,Bosnia and Herzegovina,Germany,True
Haris Tabakovic,Grenchen,Bosnia-Herzegovina  Switzerland,Bosnia and Herzegovina,Switzerland,True
Jovo Lukić,Šabac,Bosnia-Herzegovina  Serbia,Bosnia and Herzegovina,Serbia,True
Samed Bazdar,Novi Pazar,Bosnia-Herzegovina  Serbia,Bosnia and Herzegovina,Serbia,True
Edin Dzeko,Sarajevo,Bosnia-Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,False
Uğurcan Çakır,Antalya,Türkiye,Turkiye,Turkey,True
Altay Bayındır,Bursa,Türkiye,Turkiye,Turkey,True
Ersin Destanoğlu,İstanbul,Türkiye,Turkiye,Turkey,True
Muhammed Şengezer,Bursa,Türkiye,Turkiye,Turkey,True
Mert Günok,Karabük,Türkiye,Turkiye,Turkey,True
Yusuf Akçiçek,İstanbul,Türkiye,Turkiye,Turkey,True
Merih Demiral,Kocaeli,Türkiye,Turkiye,Turkey,True
Ozan Kabak,Ankara,Türkiye,Turkiye,Turkey,True
Abdülkerim Bardakcı,Konya,Türkiye,Turkiye,Turkey,True
Ahmetcan Kaplan,Trabzon,Türkiye,Turkiye,Turkey,True
Çağlar Söyüncü,İzmir,Türkiye,Turkiye,Turkey,True
Samet Akaydin,Trabzon,Türkiye,Turkiye,Turkey,True
Ferdi Kadıoğlu,Arnhem,Türkiye  Netherlands,Turkiye,Netherlands,True
Eren Elmalı,İstanbul,Türkiye,Turkiye,Turkey,True
Mustafa Eskihellaç,Trabzon,Türkiye,Turkiye,Turkey,True
Zeki Çelik,Bursa,Türkiye,Turkiye,Turkey,True
Mert Müldür,Wien,Türkiye  Austria,Turkiye,Austria,True
Hakan Çalhanoğlu,Mannheim,Türkiye  Germany,Turkiye,Germany,True
İsmail Yüksek,Bursa,Türkiye,Turkiye,Turkey,True
Atakan Karazor,Essen,Türkiye  Germany,Turkiye,Germany,True
Demir Ege Tıknaz,İstanbul,Türkiye,Turkiye,Turkey,True
Salih Özcan,Köln,Türkiye  Germany,Turkiye,Germany,True
Kaan Ayhan,Gelsenkirchen,Türkiye  Germany,Turkiye,Germany,True
Orkun Kökçü,Haarlem,Türkiye  Netherlands,Turkiye,Netherlands,True
Arda Güler,Ankara,Türkiye,Turkiye,Turkey,True
Can Uzun,Regensburg,Türkiye  Germany,Turkiye,Germany,True
Kenan Yıldız,Regensburg,Türkiye  Germany,Turkiye,Germany,True
Barış Alper Yılmaz,Rize,Türkiye,Turkiye,Turkey,True
Kerem Aktürkoğlu,Kocaeli,Türkiye,Turkiye,Turkey,True
Oğuz Aydın,Den Haag,Türkiye  Netherlands,Turkiye,Netherlands,True
Aral Şimşir,Køge,Türkiye  Denmark,Turkiye,Denmark,True
Yunus Akgün,İstanbul,Türkiye,Turkiye,Turkey,True
Yusuf Sarı,Martigues,Türkiye  France,Turkiye,France,True
İrfan Can Kahveci,Çorum,Türkiye,Turkiye,Turkey,True
Deniz Gül,Stockholm,Türkiye  Sweden,Turkiye,Sweden,True
Sander Tangvik,Trondheim,Norway,Norway,Norway,False
Egil Selvik,Sandnes,Norway,Norway,Norway,False
Ørjan Nyland,Volda,Norway,Norway,Norway,False
Kristoffer Ajer,Rælingen,Norway,Norway,Norway,False
Torbjørn Heggem,Trondheim,Norway,Norway,Norway,False
Leo Østigård,Åndalsnes,Norway,Norway,Norway,False
Henrik Falchener,Tønsberg,Norway,Norway,Norway,False
Sondre Langås,Namsos,Norway,Norway,Norway,False
David Møller Wolfe,Bergen,Norway,Norway,Norway,False
Fredrik Bjørkan,Bodø,Norway,Norway,Norway,False
Julian Ryerson,Lyngdal,Norway  United States,Norway,Norway,False
Marcus Pedersen,Hammerfest,Norway,Norway,Norway,False
Sander Berge,Bærum,Norway,Norway,Norway,False
Patrick Berg,Bodø,Norway,Norway,Norway,False
Fredrik Aursnes,Hareid,Norway,Norway,Norway,False
Kristian Thorstvedt,Stavanger,Norway,Norway,Norway,False
Morten Thorsby,Oslo,Norway,Norway,Norway,False
Martin Ødegaard,Drammen,Norway,Norway,Norway,False
Thelo Aasgaard,Liverpool,Norway  England,Norway,United Kingdom,True
Antonio Nusa,Langhus,Norway  Nigeria,Norway,Norway,False
Andreas Schjelderup,Bodø,Norway,Norway,Norway,False
Jens Petter Hauge,Bodø,Norway,Norway,Norway,False
Oscar Bobb,Oslo,Norway  The Gambia,Norway,Norway,False
Erling Haaland,Leeds,Norway,Norway,United Kingdom,True
Jørgen Strand Larsen,Halden,Norway,Norway,Norway,False
Alexander Sørloth,Trondheim,Norway,Norway,Norway,False
Raúl Rangel,Zapotlán el Grande,Mexico,Mexico,Mexico,False
Carlos Acevedo,Torreón,Mexico,Mexico,Mexico,False
Israel Reyes,Autlán de Navarro,Mexico,Mexico,Mexico,False
Jesús Gallardo,Cárdenas,Mexico,Mexico,Spain,True
